URL,Objectifs,Competences,Contenu,Métiers,Secteurs d’activité
https://www.esb.tn/programmes/licences/sciences-de-gestion/,"La licence en Science de Gestion – Parcours Managementvise à former des comptables et des professionnels polyvalents dans les domaines de la finance, de la fiscalité, et de l’audit.Ce parcours ouvre aux licenciés des perspectives de poursuite des études, à échelle nationale et internationale, à travers un master professionnel (révision comptable – CCA ou autres) ou de recherche en comptabilité ou en finance.Ce parcours est disponible en double diplôme en Management avec Ascencia Business School.","['Maîtriser les techniques d’élaboration des supports de communication comptables.', 'Établir les déclarations fiscales et sociales légales ainsi que les états financiers.', 'Préparer un rapport complet d’analyse financière d’une entreprise à des fins de gestion et d’aide à la prise de décision.', 'Intervenir en tant que collaborateur dans les missions d’audit financier interne & externe de contrôle de gestion et de conseil comptable et fiscal.', 'Intervenir et évoluer dans un milieu juridique et socioéconomique digitalisé.']",COMPTABILITE FISCALITE FINANCE :,"['Comptable', 'Contrôleur de Gestion', 'Trésorier ou Financier', 'Cadre comptable et Financier*', 'Manager *']","['Cabinets d’expertise comptable', 'Départements comptables et ﬁnanciers des entreprises publiques ou privées', 'Banques, Leasing, Assurances']"
https://www.esb.tn/programmes/licences/licence-en-business-computing/,"La licence en Business Computing – ParcoursBusiness Intelligencedéveloppe les compétences techniques et les outils BI ainsi que les Soft skills et les compétences managériales. L’objectif est de former des consultants dotés d’une assise théorique et technique solide leur permettant de concevoir, développer et exploiter des applications décisionnelles.Ce parcours est disponible en double diplôme en Systèmes d’Information et Aide à la Décision avec l’Université Claude Bernard Lyon 1.","['Concevoir et développer une solution décisionnelle et analytique', 'Maîtriser les systèmes et outils informatiques au sein des organisations.', 'Maîtriser les notions fondamentales des sciences de gestion : Marketing, Entreprenariat, Innovation, Développement durable, etc.']",INFORMATIQUE & BI :,"['Consultant BI', 'Analyste / Consultant Décisionnel', 'Expert Logiciel (ETL, PowerBI, etc.)', 'Intégrateur d’Applications Décisionnelles', 'Analyste d’Affaires']","['Sociétés de services informatique', 'Éditeurs de logiciels', 'Banques & Assurances', 'Entreprises commerciales', 'Entreprises industrielles']"
https://www.esb.tn/programmes/licences/licence-en-mathematiques-appliquees/,Le monde est devenu mathématique. La décision repose sur l’analyse de données de plus en plus massives – Big Data.,"['Aider les organisations à créer de la valeur ou à innover dans leurs secteurs respectifs à partir des décisions fondées sur des rigueurs mathématiques et inférer par des techniques statistiques.', 'Maîtriser l’analyse et le traitement des données massives (Big Data).', 'Maîtriser les langages de programmation dans le domaine de la Data Science.', 'Évaluer la rentabilité et gérer le risque pour les produits ﬁnanciers.', 'Mettre en œuvre les méthodes d’exploration et d’exploitation des données.', 'Organiser et superviser des enquêtes et des sondages.', 'Aider à la transformation digitale des entreprises.']",MATHÉMATIQUES ET STATISTIQUES :,"['Analyste de Données', 'Chargé d’Études Actuarielles en Assurances', 'Front Office Marché Financier', 'Trader Analyste de Crédit et Risque Bancaire', 'Data Miner / Data Scientist', 'Expert en BI', 'Business Analyst', 'Statisticien']","['Sociétés de services informatique', 'Éditeurs de logiciels', 'Banques et Assurances', 'Entreprises commerciales', 'Entreprises industrielles']"
https://www.esb.tn/programmes/masters-professionnels/master-en-management-digital-systemes-dinformation/,> Entreprises de services numériques,"['Anticiper et gérer les changements liés à la transformation digitale.', 'Identifier les choix stratégiques appropriés pour le management et l’optimisation des systèmes d’information des entreprises .', 'Intégrer le management des systèmes d’information et des outils technologiques IT dans la stratégie globale de l’entreprise.', 'Assurer la veille technologique et évaluer la pertinence des technologies émergentes dans le développement des affaires pour une entreprise.', 'Conduire des projets à fort contenu technologique et s’assurer de la performance économique, sociale et sociétale des entreprises.']","MANAGEMENT : Business Process Management, Conduite du Changement, Management de projets, Supply Chain, etc. DIGITAL : ERP, Business Intelligence, Big Data, SAP, CRM SOFT SKILLS : Séminaires, Développement Personnel, Business Games, Langues, etc. PROJET PROFESSIONNEL : Stages, PFE, Projets intégrés, Visites d’entreprises, etc.","['Responsable de la Transformation Digital :Chief Digital Officer, Responsable Stratégie Digitale', 'Chef de Projet Digital :Digital Account Executive, IT Project Manager, Chef de Produit / Service, Manager des Actifs Numériques.', 'Consultant en Systèmes d’Information :Consultant ERP, Consultant IT, Consultant CRM']","['Entreprises de services numériques', 'Sociétés de conseil', 'Banques & Assurances', 'BTP', 'Technologies de l’information et des communications.']"
https://www.esb.tn/programmes/masters-professionnels/master-en-marketing-digital/,Le Master Professionnel en Marketing Digitalvise à former des experts en Marketing digital et en communication capables de définir des actions stratégiques et opérationnelles et de mettre en pratique des plans de communication online et offline.,"['Préparer les contenus de la communication (benchmark, veille, recueil, évaluation, etc.).', 'Concevoir et administrer une ligne éditoriale de publications, de contenu, de messages et de supports de communication.', 'Définir la politique de communication et établir le budget des actions relatives à la communication.', 'Identifier les techniques et les processus d’innovation / conception.', 'Appréhender les spécificités des technologies liées au web..']",,"['Chargé de la Communication Web :Directeur de Communication, Consultant en Communication, Social Media Manager', 'Expert des Médias Numériques :Chef de Projet Digital, Account Manager, Content Creator', 'Concepteur, Rédacteur Web :Copywriter, Veilleur Stratégique, Responsable Éditoriale', 'Responsable Marketing :Consultant Marketing, Data Manager, Brand Manager, e-Commerce Manager']","['Entreprises de services numériques', 'Sociétés de conseil', 'Agences de communication', 'Divers secteurs de la Banque & Assurance', 'Commerce & Commerce électronique', 'Télécommunications']"
https://www.esb.tn/programmes/masters-professionnels/master-en-business-analytics/,"Le Master Professionnel en Business Analyticsest co-construit avec l’entreprise « Business & Decision Tunisie ». Il est au croisement de la Data Science, de la Business Intelligence et du Management. Le programme vise à former des experts capables de développer des solutions décisionnelles analytiques.","['Conceptualiser, modéliser et analyser des données massives hétérogènes.', 'Élaborer une vision stratégique en se basant sur la modélisation prédictive explicative.', 'Développer des outils de visualisation des données.', 'Construire les indicateurs de performance les mieux élaborés grâce aux techniques d’analyse de données et aux pratiques numériques les plus robustes.']","DATA SCIENCE ET INTELLIGENCE ARTIFICIELLE : Machine Learning, Deep Learning, Data Mining, Time Series, Statistical Analysis, Data Visualization. INFORMATIQUE : Big Data, Business Intelligence, Data Bases, Programmation MANAGEMENT : Business Process Management, E-business, Management Stratégique, Management de l’innovation. SOFT SKILLS : Design Thinking, Séminaires, Développement Personnel, Langues. PROJET PROFESSIONNEL : Stages, PFE, Projets Intégrés, Visites d’entreprises, etc.","['Data Analyst', 'Business Analyst', 'Data Scientist', 'Ingénieur d’Affaires', 'Business Development Manager', 'Consultant Analytique', 'Consultant Expert BI', 'Consultant Big Data']","['Sociétés de services informatiques', 'Opérateurs téléphoniques', 'Banques, Assurances & Bourses', 'Entreprises commerciales ou industrielles']"
https://www.esb.tn/programmes/masters-professionnels/master-professionnel-de-comptabilite-controle-audit/,"Le Master Professionnel en Comptabilité, Contrôle, Auditpermet de former des professionnels dans les domaines de la comptabilité, de la finance, du contrôle de gestion, de la fiscalité et de l’audit, capables d’intervenir et d’évoluer dans un contexte digitalisé.","['Maîtriser parfaitement la technique comptable nationale et internationale.', 'Analyser et concevoir l’ensemble des opérations financières fiscales et sociales.', 'Contrôler la régularité et la fiabilité des opérations réalisées et des états financiers.', 'Définir et mettre en œuvre un manuel de procédures comptables et de contrôle interne.', 'Assurer et superviser les missions d’audit.', 'Utiliser les outils numériques de référence et les règles de sécurité informatique pour acquérir, traiter, produire et diffuser l’information.']","UNITÉS D’ENSEIGNEMENT FONDAMENTALES : Normes et Difficultés Comptables à l’International, Finance, Audit et Contrôle Interne, Économie, Contrôle de gestion, Droit et Fiscalité. DIGITAL : Digital Auditing, ERP, Digital Accounting Tools. SOFT SKILLS : Séminaires, Développement Personnel, Business Games, Langues, etc. Projet Professionnel : Stages, PFE, Projets Intégrés, Visites d’entreprises, etc.","['Cadre opérationnel et supérieur', 'Auditeur et conseiller comptable', 'Responsable d’audit interne', 'Comptable agréé', 'Contrôleur de gestion', 'Conseiller fiscal']","['Entreprises publiques ou privées non financières', 'Institutions financières (Banques, Leasing, Assurances…)', 'Cabinets d’expertise comptable']"
https://www.esb.tn/programmes/masters-professionnels/master-professionnel-gamma/,"Le Master Professionnel en Gestion Actuarielle et Modélisation Mathématiquevise à former des diplômés dotés de compétences en mathématiques, statistiques et en Intelligence Artificielle.","['Adapter les outils de traitement statistique des données.', 'Modéliser mathématiquement des problèmes managériaux, simuler, tester et vérifier pour prendre des décisions.', 'Développer des modèles mathématiques pour la création de produits d’assurance ou d’épargne.', 'Élaborer des modèles explicatifs ou prédictifs.', 'Analyser des données massives.', 'Réaliser des études en analyse de données financières.']","ACTUARIAT : Introduction à l’Actuariat, Actuariat Vie, Actuariat Non-Vie, Actuariat pour la Réassurance et Risques Extrêmes, Modèles Aléatoires pour l’Actuariat et la Finance, etc. MATHÉMATIQUES & STATISTIQUES : Intégration et Probabilités, Statistiques Inférentielles, Méthodes de Monte Carlo, Apprentissage Statistique, Séries Temporelles, etc. DATA SCIENCE : Programmation (Python, R et VBA), Bases de Données, Machine Learning, Deep Learning, Big Data Analytics, etc. GESTION DU RISQUE ET ASSURANCE : Gestion de Portefeuille, Asset And Liability Management, Modélisation et Mesure du Risque, Comptabilité Sectorielle, Management des Risques, Modèles Financiers. PROJET PROFESSIONNEL : Projets Intégrés, Visites d’entreprises, Stages, PFE, etc. SOFT SKILLS : Séminaires, Développement Personnel, Business Games, etc.","['Actuaire', 'Data Scientist / Data Analyst', 'Responsable d’Enquêtes Terrain', 'Opérateur sur Marchés Financiers', 'Trader', 'Chargé d’Études Actuarielles en Assurances', 'Analyste de Crédits et Risques Bancaires', 'Analyste Financier']","['Banques, Assurances & Bourses', 'Organisme d’Études et de Sondage', 'Caisse de retraite et de Prévoyance', 'Entreprises Commerciales ou Industrielles']"
https://www.esb.tn/programmes/masters-professionnels/master-professionnel-en-finance-digitale/,"Le Master Professionnel en Finance Digitale vise à former des cadres financiers de haut niveau dotés des compétences informatiques et financières requises par les secteurs à forte présence technologique comme le secteur bancaire, les assurances, les cabinets d’audit et de conseil en finance digitale «les Fintech.».","['Analyser et gérer les risques financiers par la mise en application des modèles de prévisions et de mesure des risques financiers.', 'Appréhender les différentes étapes du processus de réalisation d’un projet innovant en finance digitale.', 'Maîtriser les nouvelles technologies appliquées dans les transactions financières et les risques liés.', 'Auditer et valider la sécurité des systèmes d’information et la sécurité des données financières.']","FINANCE : Analyse Financière Approfondie, Asset Liability, Inclusion Financière, Finance Internationale, Microstructure des Marchés Financiers, etc. DIGITAL : Technologie Blockchain, Cybersécurité, RegTech, etc. Intelligence Artificielle en Finance, Cryptographie, SOFT SKILLS : Séminaires, Développement Personnel, Business Games, Langues, etc.","['Analyste Financier', 'Chef de Projet FinTech', 'Conseiller Financier', 'Conseiller en Sécurité et Cryptographie', 'Trader de Crypto-Actifs', 'Consultant en Innovation Financière']","['Secteur Bancaire et des Assurances', 'Organismes de Placement et de Gestion d’Actifs', 'Cabinets de Conseil et d’Audit', 'Entreprises du secteur des Technologies & IT']"
https://www.esb.tn/programmes/alternance/BA-alternance/,,"['DATA SCIENCE ET INTELLIGENCE ARTIFICIELLE: Machine Learning, Deep Learning, LLM, Chat bot, Prompt Engineering, Time Series Forecasting, Data Visualization.', 'INFORMATIQUE: Big Data, Business Intelligence, Data Bases, Programmation.', 'MANAGEMENT: Project Management, MC-Ops, LLM-Ops, Process Management, Management de l’innovation.', 'SOFT SKILLS: Design Thinking, Séminaires, Développement Personnel, Langues.', 'PROJET PROFESSIONNEL: PFE, Projets Intégrés, Séminaires, Conférences, etc.']","DATA SCIENCE ET INTELLIGENCE ARTIFICIELLE : Machine Learning, Deep Learning, LLM, Chat bot, Prompt Engineering, Time Series Forecasting, Data Visualization. INFORMATIQUE : Big Data, Business Intelligence, Data Bases, Programmation. MANAGEMENT : Project Management, MC-Ops, LLM-Ops, Process Management, Management de l’innovation. SOFT SKILLS : Design Thinking, Séminaires, Développement Personnel, Langues. PROJET PROFESSIONNEL : PFE, Projets Intégrés, Séminaires, Conférences, etc.","['Data Scientist', 'Data Analyst', 'Business Analyst', 'Consultant expert en IA', 'Ingénieur d’Affaires', 'Consultant Analytique', 'Consultant Expert BI', 'Consultant Big Data']","['Sociétés de services informatiques', 'Opérateurs téléphoniques', 'Banques, Assurances & Bourses', 'Entreprises commerciales ou industrielles']"
